date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,4.18,4.2,4.09,4.05,909294.5,-0.12,-2.85,4.226,4.34,4.386,749766.91,960175.79,1061860.7,1.52
2017-12-14,4.22,4.27,4.21,4.17,518586.88,-0.02,-0.47,4.282,4.399,4.39,820959.76,982544.62,1057914.56,0.87
2017-12-13,4.18,4.26,4.23,4.16,575018.12,-0.01,-0.24,4.298,4.452,4.4,885820.39,1086749.07,1066609.75,0.96
2017-12-12,4.32,4.41,4.25,4.23,778542.25,-0.09,-2.07,4.34,4.501,4.411,1019113.74,1236076.73,1089415.55,1.3
2017-12-11,4.37,4.38,4.35,4.24,967392.81,-0.01,-0.23,4.392,4.535,4.42,1125486.89,1331450.76,1120909.62,1.62
2017-12-08,4.25,4.41,4.37,4.16,1265258.75,0.08,1.86,4.454,4.533,4.42,1170584.68,1343941.11,1152255.05,2.12
2017-12-07,4.4,4.42,4.29,4.26,842890.0,-0.14,-3.16,4.516,4.528,4.41,1144129.48,1298216.69,1118607.55,1.41
2017-12-06,4.43,4.44,4.44,4.27,1241484.88,-0.06,-1.33,4.606,4.526,4.408,1287677.75,1324381.94,1110085.94,2.08
2017-12-05,4.68,4.7,4.51,4.4,1310408.0,-0.15,-3.22,4.662,4.511,4.396,1453039.73,1272030.07,1079603.36,2.2
2017-12-04,4.75,4.85,4.66,4.61,1192881.75,-0.02,-0.43,4.678,4.478,4.381,1537414.63,1213020.49,1075465.64,2.0
2017-12-01,4.75,4.76,4.68,4.6,1132982.75,-0.05,-1.06,4.612,4.431,4.354,1517297.55,1163545.6,1058904.88,1.9
2017-11-30,4.76,4.82,4.74,4.67,1560631.38,0.01,0.21,4.54,4.381,4.321,1452303.9,1133284.5,1039508.46,2.62
2017-11-29,4.58,4.8,4.72,4.55,2068294.75,0.13,2.83,4.446,4.348,4.291,1361086.13,1046470.43,990587.06,3.47
2017-11-28,4.33,4.62,4.59,4.3,1732282.5,0.27,6.25,4.36,4.321,4.263,1091020.41,942754.37,919741.64,2.9
2017-11-27,4.38,4.46,4.33,4.3,1092296.38,0.01,0.23,4.278,4.304,4.242,888626.36,910368.48,854691.35,1.83
2017-11-24,4.25,4.33,4.32,4.15,808014.5,0.06,1.41,4.25,4.307,4.233,809793.65,960568.99,841233.51,1.35
2017-11-23,4.29,4.42,4.27,4.26,1104542.5,-0.01,-0.23,4.222,4.292,4.231,814265.1,938998.41,854493.16,1.85
2017-11-22,4.21,4.29,4.29,4.18,717966.19,0.12,2.88,4.25,4.289,4.235,731854.74,895789.93,851422.56,1.2
2017-11-21,4.17,4.24,4.18,4.14,720312.25,0.0,0.0,4.282,4.281,4.236,794488.32,887176.64,841104.57,1.21
2017-11-20,4.16,4.19,4.19,4.01,698132.81,0.0,0.0,4.33,4.284,4.242,932110.6,937910.78,834958.86,1.17
2017-11-17,4.37,4.41,4.18,4.12,830371.75,-0.23,-5.21,4.364,4.276,4.246,1111344.34,954264.17,828893.69,1.39
2017-11-16,4.41,4.5,4.41,4.33,692490.69,-0.03,-0.68,4.362,4.26,4.253,1063731.72,945732.41,820130.41,1.16
2017-11-15,4.34,4.49,4.45,4.28,1031134.12,0.04,0.91,4.328,4.234,4.243,1059725.12,934703.68,823001.12,1.73
2017-11-14,4.35,4.54,4.42,4.35,1408423.62,0.07,1.61,4.28,4.204,4.24,979864.96,896728.91,804241.26,2.36
2017-11-13,4.18,4.38,4.36,4.17,1594301.5,0.19,4.56,4.238,4.18,4.245,943710.96,799014.21,764490.49,2.67
2017-11-10,4.21,4.22,4.17,4.15,592308.69,-0.07,-1.65,4.188,4.159,4.257,797184.0,721898.03,742401.6,0.99
2017-11-09,4.25,4.3,4.24,4.19,672457.69,0.03,0.71,4.158,4.169,4.276,827733.1,769987.91,752201.17,1.13
2017-11-08,4.2,4.25,4.21,4.16,631833.31,0.0,0.0,4.14,4.181,4.289,809682.24,807055.18,761941.32,1.06
2017-11-07,4.09,4.29,4.21,4.07,1227653.62,0.1,2.43,4.128,4.19,4.298,813592.85,795032.5,760310.95,2.06
2017-11-06,4.04,4.15,4.11,3.94,861666.69,0.09,2.24,4.122,4.199,4.31,654317.47,732006.94,763333.75,1.44
2017-11-03,4.14,4.14,4.02,4.0,745054.19,-0.13,-3.13,4.13,4.215,4.335,646612.07,703523.21,760037.95,1.25
2017-11-02,4.17,4.19,4.15,4.1,582203.38,0.0,0.0,4.18,4.246,4.364,712242.73,694528.4,755939.95,0.98
2017-11-01,4.18,4.24,4.15,4.13,651386.38,-0.03,-0.72,4.222,4.252,4.385,804428.13,711298.55,766109.54,1.09
2017-10-31,4.15,4.18,4.18,4.13,431276.69,0.03,0.72,4.252,4.276,4.412,776472.15,711753.6,820909.42,0.72
2017-10-30,4.27,4.28,4.15,4.11,823139.69,-0.12,-2.81,4.276,4.309,4.427,809696.42,729966.76,834690.46,1.38
2017-10-27,4.3,4.3,4.27,4.24,1073207.5,-0.09,-2.06,4.3,4.355,4.44,760434.34,762905.17,829539.26,1.8
2017-10-26,4.27,4.38,4.36,4.24,1043130.38,0.06,1.4,4.312,4.382,4.45,676814.07,734414.42,842559.19,1.75
2017-10-25,4.31,4.33,4.3,4.26,511606.47,0.0,0.0,4.282,4.396,4.459,618168.98,716827.46,841358.85,0.86
2017-10-24,4.27,4.33,4.3,4.25,597398.06,0.03,0.7,4.3,4.406,4.477,647035.06,725589.4,879452.34,1.0
2017-10-23,4.3,4.31,4.27,4.22,576829.31,-0.06,-1.39,4.342,4.42,4.49,650237.1,794660.56,901814.03,0.97
2017-10-20,4.21,4.35,4.33,4.19,655106.12,0.12,2.85,4.41,4.454,4.506,765375.99,816552.7,1002339.91,1.1
2017-10-19,4.31,4.33,4.21,4.21,749904.94,-0.18,-4.1,4.452,4.481,4.527,792014.76,817351.5,1073241.48,1.26
2017-10-18,4.49,4.51,4.39,4.36,655936.88,-0.12,-2.66,4.51,4.518,4.572,815485.94,820920.53,1108048.24,1.1
2017-10-17,4.55,4.56,4.51,4.47,613408.25,-0.1,-2.17,4.512,4.547,4.617,804143.74,930065.24,1153583.66,1.03
2017-10-16,4.55,4.65,4.61,4.54,1152523.75,0.07,1.54,4.498,4.544,4.649,939084.01,939414.16,1199084.02,1.93
2017-10-13,4.48,4.56,4.54,4.44,788300.0,0.04,0.89,4.498,4.525,4.673,867729.41,896173.35,1205012.9,1.32
2017-10-12,4.4,4.51,4.5,4.37,867260.81,0.1,2.27,4.51,4.518,4.701,842688.24,950703.96,1212754.7,1.45
2017-10-11,4.43,4.47,4.4,4.36,599225.88,-0.04,-0.9,4.526,4.522,4.733,826355.12,965890.24,1233917.93,1.0
2017-10-10,4.59,4.59,4.44,4.38,1288109.62,-0.17,-3.69,4.582,4.547,4.778,1055986.75,1033315.29,1263099.62,2.16
2017-10-09,4.68,4.74,4.61,4.58,795750.75,0.01,0.22,4.59,4.559,4.816,939744.31,1008967.5,1248807.63,1.33
2017-09-29,4.56,4.65,4.6,4.54,663094.12,0.02,0.44,4.552,4.557,4.851,924617.29,1188127.12,1308408.91,1.11
2017-09-28,4.64,4.67,4.58,4.56,785595.25,-0.1,-2.14,4.526,4.573,4.893,1058719.69,1329131.46,1404398.75,1.32
2017-09-27,4.53,4.72,4.68,4.51,1747384.0,0.2,4.46,4.518,4.626,4.929,1105425.35,1395175.95,1465213.77,2.93
