date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,3.24,3.28,3.27,3.24,236924.8,0.03,0.93,3.264,3.301,3.378,179975.24,188615.94,253309.32,0.85
2016-12-29,3.25,3.27,3.24,3.23,167869.14,-0.02,-0.61,3.268,3.31,3.395,179942.68,194783.16,261127.91,0.6
2016-12-28,3.28,3.29,3.26,3.25,152816.33,-0.01,-0.31,3.29,3.318,3.416,181699.04,205003.45,266264.45,0.55
2016-12-27,3.28,3.29,3.27,3.25,140872.0,-0.01,-0.3,3.312,3.326,3.437,191277.03,229440.77,272191.04,0.5
2016-12-26,3.28,3.29,3.28,3.23,201393.95,-0.01,-0.3,3.326,3.328,3.456,199806.84,251449.75,283849.09,0.72
2016-12-23,3.36,3.36,3.29,3.28,236762.0,-0.06,-1.79,3.338,3.334,3.478,197256.64,292454.93,289687.52,0.85
2016-12-22,3.37,3.38,3.35,3.33,176650.94,-0.02,-0.59,3.352,3.36,3.499,209623.64,293632.53,298747.29,0.63
2016-12-21,3.34,3.38,3.37,3.33,200706.28,0.03,0.9,3.346,3.382,3.517,228307.85,299833.97,314030.98,0.72
2016-12-20,3.35,3.37,3.34,3.33,183521.05,0.0,0.0,3.34,3.405,3.536,267604.5,305557.42,323442.46,0.66
2016-12-19,3.35,3.37,3.34,3.32,188642.91,-0.02,-0.59,3.33,3.431,3.559,303092.66,306579.24,335320.73,0.67
2016-12-16,3.33,3.37,3.36,3.31,298597.03,0.04,1.21,3.33,3.455,3.581,387653.23,318002.7,346809.49,1.07
2016-12-15,3.31,3.35,3.32,3.29,270071.97,-0.02,-0.6,3.368,3.479,3.602,377641.42,327472.65,354765.06,0.97
2016-12-14,3.29,3.47,3.34,3.28,397189.56,0.05,1.52,3.418,3.514,3.627,371360.09,327525.45,381097.94,1.42
2016-12-13,3.33,3.34,3.29,3.21,360961.84,-0.05,-1.5,3.47,3.547,3.654,343510.34,314941.31,440921.68,1.29
2016-12-12,3.55,3.56,3.34,3.32,611445.75,-0.21,-5.92,3.532,3.584,3.679,310065.82,316248.43,447622.99,2.19
2016-12-09,3.57,3.57,3.55,3.55,248538.0,-0.02,-0.56,3.58,3.621,3.7,248352.18,286920.11,450108.64,0.89
2016-12-08,3.6,3.6,3.57,3.56,238665.28,-0.03,-0.83,3.59,3.637,3.712,277303.88,303862.05,489531.36,0.85
2016-12-07,3.61,3.61,3.6,3.56,257940.84,0.0,0.0,3.61,3.651,3.719,283690.81,328227.99,500989.1,0.92
